Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
PHL,,,,7.986133274199999,7.536713528,7.4181898802,7.4109355801,8.1272059913,7.820741223,7.5580766829999995,7.521062218099999,7.1123334876,6.7251247174,6.454250195299999,5.394583759400001,,,
POL,2.2218298928,2.2735001397,2.1021583305,4.8714474793,4.7474900059,5.665434821900001,2.0278669688,1.8728503582,1.7330681791,1.6581474213,1.4542104502000002,1.2837195801,1.3747139875,1.2036067804000001,1.2889149031,1.139075353,,
PRT,,1.042379205,1.1164123287,1.2192345665,1.0589033958,1.1222683287000002,1.0115844726999998,1.141677802,1.4236836755000002,1.3706123391,1.2803899366,1.4653566062999999,1.7439608991,1.1660039877,1.219835463,1.1615302673999999,,
PRI,23.341144332,23.256480668000002,19.251950058,17.225709635999998,15.591419618,18.220652362,19.569158900999998,20.483381578,20.691577187,21.015865264000002,20.386114597,19.824563217,19.413587492999998,21.468584172,23.817287834000002,26.220262475,,
QAT,,,,0.9110322359999999,0.5264358538,0.1692170496,,,0.6120887529,0.8389895209999999,0.7308285403,0.2044287443,2.5462742915,0.9311920691,,,,
ROU,3.3420110988,3.1993073189,3.0847362355000003,2.4985970534,2.5400882928,2.6180979604,2.7013566104000004,2.5578374525,2.513077696,2.3620680437,2.0806780383000003,2.01795194,1.9219320443999999,2.2835127968,1.9547556256,,,
RUS,,,,,,,,,,18.947801154,17.685234513,15.465814839,12.771596806,11.6070412,11.151646327,10.194590915,,
RWA,,,,,,,,,,,,,,17.073013723,,,,
WSM,,,,,,,,,,,,,,1.1000555528,,,,
SMR,,,,,,,,,,,,,,,,,,
STP,,,,,,,,,,,,,,1.8767359808000001,,,,
SAU,,,,,0.9397861159,0.8630462359000001,1.1072657132,1.3278621066,1.119350977,1.2966443576,1.235383582,1.0282491908,1.0390455273,,,,,
SEN,,,,,,,,,,,,,,8.712897965,,,,
SRB,,,,,,2.2499494501,2.4114836638,1.9973918058000002,1.7688952435,1.6573342244,1.4914542713999999,1.5860362119,1.7390430626,1.4225676126,1.4718660419,1.2479426701,,
SYC,,,,,,,,,,,,8.3045639511,,,,,,
SLE,,,,,,,,,,,,,,14.914126172000001,,,,
SGP,1.464812616,0.8667602209,1.0624696753,0.9837121201000001,1.0403951629000001,0.9440461306999999,0.7535878317,0.5456055565,0.587364325,0.4567134229,0.4922645317,0.3854914619,0.392593591,0.3771832625,0.5054952387,0.37354381810000004,0.3084079922,
SXM,,,,,,,,,,,,,,,,,,
SVK,2.3841036906,2.453163624,2.5974531971,2.3718866209000002,2.6104584965,2.6457743007,2.3857763344,2.5516987102,2.6991142099000003,2.2545251739,1.9573461046,1.6414237821000002,1.6387484087000002,1.7275270781,1.5407280453999999,,,
SVN,2.2378134528,1.9274781282,1.822088265,0.7073347073,1.2611116548,1.8132311477,1.4081779937,1.8078469597,1.0529345285,1.4014301594999998,0.9989590845999999,0.5979362231,1.1926384392,0.495497906,0.6422797968,0.7390327539,,
SLB,,,,,,,,,,4.3771434324000005,5.5342110024,4.7619047619,5.2367620697,3.7238765163,,,,
SOM,,,,,,,,,,,,,,1.5466933266,,,,
ZAF,64.916526578,60.390167428000005,57.112395333,57.741681407,51.212870951999996,48.609953714,47.158403789,46.838661965,42.512159841999996,39.793193126,38.767356254,39.730264567,37.850262339000004,36.796906724,33.836163703000004,31.795540235,,
SSD,,,,,,,,,,,,,,,,,,
